word	idf	rf_importance	lr_importance
experience	8.5766	0.0016	-0.3791
cir	9.2698	0.0016	-0.4248
ind	8.3535	0.0015	-0.4021
aspirati	8.8643	0.0015	-0.3858
conversion	9.2698	0.0015	-0.4248
automa	9.2698	0.0015	-0.4248
suicide	9.2698	0.0015	-0.4226
nomogram	7.1903	0.0015	-0.4163
pulmonary	8.1711	0.0015	-0.4071
heritage	9.2698	0.0015	-0.4462
inte	7.478	0.0015	-0.0215
comparisons	9.2698	0.0015	-0.4579
variations	8.5766	0.0015	-0.4079
outcom	7.6603	0.0015	-0.4342
atop	9.2698	0.0015	-0.4248
deficiency	9.2698	0.0015	-0.4248
dynamics	8.3535	0.0015	-0.4248
searching	9.2698	0.0015	-0.4248
population	8.3535	0.0015	-0.4248
effectiveness	7.0725	0.0015	-0.4045
implementing	8.017	0.0015	-0.3707
delay	8.3535	0.0015	-0.4553
urbanicity	9.2698	0.0015	-0.4248
management	6.3253	0.0015	-0.3386
prophylactic	9.2698	0.0015	-0.4293
epidemiology	6.4365	0.0015	-0.3493
npwt	9.2698	0.0015	-0.4632
sex	7.0185	0.0015	-0.3257
measuring	8.3535	0.0015	-0.4021
biologic	8.3535	0.0014	-0.439
proxi	8.8643	0.0014	-0.4151
adalimumab	9.2698	0.0014	-0.4605
exploring	6.4365	0.0014	-0.1646
cerebral	8.8643	0.0014	-0.4151
posttrau	9.2698	0.0014	-0.4248
data	5.4196	0.0014	0.9483
parathyroid	8.8643	0.0014	-0.4248
high	6.4365	0.0014	-0.1492
examining	8.017	0.0014	-0.3486
implant	8.5766	0.0014	-0.4463
secondary	8.5766	0.0014	-0.4248
sy	8.5766	0.0014	-0.4248
prev	8.5766	0.0014	-0.4079
assessing	7.3238	0.0014	-0.3663
cancer	6.5289	0.0014	-0.2675
operative	8.1711	0.0014	-0.3771
illne	9.2698	0.0014	-0.4248
recommender	9.2698	0.0014	-0.417
bringing	9.2698	0.0014	-0.3694
progn	8.3535	0.0014	-0.4334
laparoscopic	8.8643	0.0014	-0.4151
alternative	8.8643	0.0014	-0.4151
pax	9.2698	0.0014	-0.4098
morpholog	9.2698	0.0014	-0.4712
integrating	7.565	0.0014	-0.1095
specifi	8.8643	0.0014	-0.359
platform	8.3535	0.0014	-0.2675
change	8.1711	0.0014	-0.3972
enpp1	9.2698	0.0014	-0.4248
hemangio	9.2698	0.0014	-0.4248
depression	8.5766	0.0014	-0.4079
wide	7.6603	0.0014	-0.3166
unnamed	9.2698	0.0014	-0.4248
entanglement	9.2698	0.0014	-0.4462
feature	8.8643	0.0014	-0.3725
patie	8.5766	0.0014	-0.4988
natraemia	9.2698	0.0014	-0.4409
reoperation	8.8643	0.0014	-0.4151
gui	9.2698	0.0014	-0.4429
kidneys	9.2698	0.0014	-0.4248
quan	8.5766	0.0014	-0.1685
integration	7.7657	0.0014	-0.3093
autism	9.2698	0.0014	-0.4268
mar	9.2698	0.0013	-0.3825
analy	7.8835	0.0013	-0.2308
basic	9.2698	0.0013	-0.4341
sympto	9.2698	0.0013	-0.4962
colorectal	8.1711	0.0013	-0.4794
strengthening	9.2698	0.0013	-0.4248
multiple	7.6603	0.0013	-0.2715
neura	8.8643	0.0013	-0.4081
blood	8.017	0.0013	-0.369
amelioration	9.2698	0.0013	-0.4409
surg	9.2698	0.0013	-0.4341
causes	8.8643	0.0013	-0.4747
curated	6.8719	0.0013	0.2495
seizure	8.3535	0.0013	-0.412
abcl	9.2698	0.0013	-0.3742
intravenous	9.2698	0.0013	-0.4248
lexical	9.2698	0.0013	-0.4248
pricing	9.2698	0.0013	-0.3993
implementation	7.1297	0.0013	-0.412
deep	6.744	0.0013	-0.3517
validated	9.2698	0.0013	-0.4248
bulk	9.2698	0.0013	-0.3519
emotion	8.8643	0.0013	-0.3226
genomic	7.1903	0.0013	0.1487
zoster	8.8643	0.0013	-0.3468
navigating	8.8643	0.0013	-0.3513
edge	9.2698	0.0013	-0.4103
epidemiolo	9.2698	0.0013	-0.4462
cochle	9.2698	0.0013	-0.4226
acti	9.2698	0.0013	-0.3519
wave	9.2698	0.0013	-0.3709
ki	8.3535	0.0013	-0.1407
speech	8.5766	0.0013	-0.3747
wit	8.017	0.0012	-0.4156
fast	8.017	0.0012	-0.3534
baseline	8.3535	0.0012	-0.4047
techno	8.8643	0.0012	-0.3583
mortalit	8.8643	0.0012	-0.4482
incr	9.2698	0.0012	-0.4248
capillary	9.2698	0.0012	-0.3468
persp	9.2698	0.0012	-0.4341
gesture	9.2698	0.0012	-0.405
litigation	9.2698	0.0012	-0.4226
optimization	7.8835	0.0012	-0.3865
user	8.017	0.0012	-0.3274
does	6.9184	0.0012	-0.2852
pr	6.744	0.0012	0.0038
hemangioma	9.2698	0.0012	-0.4248
dat	7.0185	0.0012	0.0378
formalization	8.8643	0.0012	-0.4531
intera	9.2698	0.0012	-0.4968
steroidal	9.2698	0.0012	-0.3261
text	8.3535	0.0012	-0.2176
strategies	9.2698	0.0012	-0.4341
cross	7.6603	0.0012	-0.3115
refining	8.8643	0.0012	-0.3365
glucagon	9.2698	0.0012	-0.4555
nation	8.8643	0.0012	-0.4151
assessment	6.8274	0.0012	-0.4055
carbon	8.017	0.0012	-0.3454
adjuvant	7.6603	0.0012	-0.389
